term,coef,std_err,z,p_value
const,-30.61136623896595,3.4781588222018285,-8.801026003633613,1.3557092985726143e-18
log_pass,2.7943960843520466,0.39274209759985235,7.115091815797994,1.1183835913038163e-12
log_freight,-0.4002051885022161,0.09630825079489999,-4.155461086657064,3.246321953735725e-05
log_host,-0.04089871165161541,0.09589407425821934,-0.4264988422692852,0.6697443914407396
sin_m1,-1.1281371351299856,0.27339953540395157,-4.126331573545461,3.685957268910566e-05
cos_m1,0.5235089395228738,0.2719718498063269,1.9248644295197033,0.054246320968281816
sin_m2,-0.19439408803638847,0.23705080441745355,-0.8200524293267306,0.41218621928537647
cos_m2,-0.34070629462345114,0.23621095469056164,-1.442381430064407,0.14919479959488327
species_cerasi,-2.9628948047047112,1.032388703015033,-2.869941133656097,0.0041054822192113346
species_dorsalis,2.453117814963437,0.73190791906535,3.351675464990296,0.0008032411935850511
species_ludens,-0.7575908970806446,0.5659333374031796,-1.3386574831532239,0.18068220342848573
species_suspensa,-1.9605773565168292,1.7986352208118437,-1.0900361195150456,0.2756972336755126
species_zonata,2.323634082384376,1.0456000950078803,2.2222971224642665,0.02626323249379743
